HV_Setting,HV_Spec_Value
HV0,15
HV1,16
HV2,17
HV3,18
HV4,19
HV5,20
HV6,21
HV7,22
HV8,23
HV9,24
HV10,25
HV11,26
HV12,27
HV13,28
HV14,29
HV15,30
HV16,31
HV17,32
HV18,33
HV19,34
HV20,35
HV21,36
HV22,37
HV23,38
HV24,39
HV25,40
HV26,41
HV26,41
HV25,40
HV24,39
HV23,38
HV22,37
HV21,36
HV20,35
HV19,34
HV18,33
HV17,32
HV16,31
HV15,30
HV14,29
HV13,28
HV12,27
HV11,26
HV10,25
HV9,24
HV8,23
HV7,22
HV6,21
HV5,20
HV4,19
HV3,18
HV2,17
HV1,16
HV0,15
