HV-state,HV_delta
0,6.75
1,6.33
2,5.91
3,5.48
4,5.07
5,4.63
6,4.21
7,3.8
8,3.39
9,2.96
10,2.54
11,2.11
12,1.69
13,1.26
14,0.85
15,0.41
16,0
17,-0.42
18,-0.84
19,-1.26
20,-1.68
21,-2.12
22,-2.53
23,-2.95
24,-3.37
25,-3.8
26,-4.21
27,-4.63
28,-5.06
29,-5.49
30,-5.9
31,-6.32
