IPI-state,IPI_delta
0,-0.84
1,-0.78
2,-0.72
3,-0.66
4,-0.6
5,-0.55
6,-0.51
7,-0.47
8,-0.42
9,-0.38
10,-0.33
11,-0.27
12,-0.2
13,-0.14
14,-0.07
15,0
16,0.07
17,0.14
18,0.2
19,0.27
20,0.33
21,0.38
22,0.42
23,0.47
24,0.51
25,0.55
26,0.6
27,0.66
28,0.72
29,0.78
30,0.84
31,0.9
