X,Y,Chip Name
165,132,SH4T
166,132,SH4T
167,132,SH4T
180,132,SH4T
181,132,SH4T
182,132,SH4T
183,132,SH4T
184,132,SH4T
185,132,SH4T
198,132,SH4T
199,132,SH4T
200,132,SH4T
201,132,SH4T
202,132,SH4T
203,132,SH4T
216,132,SH4T
217,132,SH4T
218,132,SH4T
219,132,SH4T
220,132,SH4T
221,132,SH4T
221,131,SH4T
220,131,SH4T
219,131,SH4T
218,131,SH4T
217,131,SH4T
216,131,SH4T
203,131,SH4T
202,131,SH4T
201,131,SH4T
200,131,SH4T
199,131,SH4T
198,131,SH4T
185,131,SH4T
184,131,SH4T
183,131,SH4T
182,131,SH4T
181,131,SH4T
180,131,SH4T
167,131,SH4T
166,131,SH4T
165,131,SH4T
164,131,SH4T
163,131,SH4T
162,131,SH4T
149,131,SH4T
148,131,SH4T
147,131,SH4T
146,131,SH4T
145,131,SH4T
144,131,SH4T
131,131,SH4T
130,131,SH4T
129,131,SH4T
128,131,SH4T
127,131,SH4T
126,131,SH4T
113,131,SH4T
112,131,SH4T
111,131,SH4T
110,131,SH4T
109,131,SH4T
108,131,SH4T
95,131,SH4T
94,131,SH4T
93,131,SH4T
92,131,SH4T
91,131,SH4T
90,131,SH4T
77,131,SH4T
76,131,SH4T
75,131,SH4T
74,131,SH4T
73,131,SH4T
72,131,SH4T
59,131,SH4T
58,131,SH4T
57,131,SH4T
56,131,SH4T
55,131,SH4T
54,131,SH4T
41,131,SH4T
40,131,SH4T
39,131,SH4T
38,131,SH4T
37,131,SH4T
36,131,SH4T
23,131,SH4T
22,131,SH4T
21,131,SH4T
20,131,SH4T
19,131,SH4T
18,131,SH4T
5,131,SH4T
4,131,SH4T
3,131,SH4T
221,109,SH4T
220,109,SH4T
219,109,SH4T
218,109,SH4T
217,109,SH4T
216,109,SH4T
203,109,SH4T
202,109,SH4T
201,109,SH4T
200,109,SH4T
199,109,SH4T
198,109,SH4T
185,109,SH4T
184,109,SH4T
183,109,SH4T
182,109,SH4T
181,109,SH4T
180,109,SH4T
167,109,SH4T
166,109,SH4T
165,109,SH4T
164,109,SH4T
163,109,SH4T
162,109,SH4T
149,109,SH4T
148,109,SH4T
147,109,SH4T
146,109,SH4T
145,109,SH4T
144,109,SH4T
131,109,SH4T
130,109,SH4T
129,109,SH4T
128,109,SH4T
127,109,SH4T
126,109,SH4T
113,109,SH4T
112,109,SH4T
111,109,SH4T
110,109,SH4T
109,109,SH4T
108,109,SH4T
95,109,SH4T
94,109,SH4T
93,109,SH4T
92,109,SH4T
91,109,SH4T
90,109,SH4T
77,109,SH4T
76,109,SH4T
75,109,SH4T
74,109,SH4T
73,109,SH4T
72,109,SH4T
59,109,SH4T
58,109,SH4T
57,109,SH4T
56,109,SH4T
55,109,SH4T
54,109,SH4T
41,109,SH4T
40,109,SH4T
39,109,SH4T
38,109,SH4T
37,109,SH4T
36,109,SH4T
23,109,SH4T
22,109,SH4T
21,109,SH4T
20,109,SH4T
19,109,SH4T
18,109,SH4T
5,109,SH4T
4,109,SH4T
3,109,SH4T
2,109,SH4T
1,109,SH4T
0,109,SH4T
0,108,SH4T
1,108,SH4T
2,108,SH4T
3,108,SH4T
4,108,SH4T
5,108,SH4T
18,108,SH4T
19,108,SH4T
20,108,SH4T
21,108,SH4T
22,108,SH4T
23,108,SH4T
36,108,SH4T
