CLK-state,CLK_delta
0,0
1,1.01
2,2.02
3,3.03
4,4.04
5,5.05
6,6.06
7,7.11
8,7.81
9,8.53
10,9.11
11,9.71
12,10.2
13,10.75
14,11.3
15,11.96
